"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","79.44","81.38","81.38","79.30","32.22K","-2.19%"
"10/31/2023","81.22","82.95","83.10","81.15","26.78K","-2.04%"
"10/30/2023","82.91","84.38","85.25","82.79","19.83K","-1.74%"
"10/27/2023","84.38","84.78","85.44","83.83","17.15K","-0.25%"
"10/26/2023","84.59","83.76","85.20","83.51","19.47K","0.93%"
"10/25/2023","83.81","82.78","84.16","82.73","14.63K","1.06%"
"10/24/2023","82.93","83.73","84.44","82.57","19.57K","-0.96%"
"10/23/2023","83.73","82.29","84.90","81.68","33.19K","1.61%"
"10/20/2023","82.40","84.11","84.13","81.51","31.37K","-2.22%"
"10/19/2023","84.27","84.18","84.39","82.41","20.51K","0.04%"
"10/18/2023","84.24","83.31","84.50","82.01","35.02K","1.21%"
"10/17/2023","83.23","85.15","85.15","82.97","32.47K","-2.25%"
"10/16/2023","85.15","86.20","86.23","84.58","23.44K","-2.99%"
"10/13/2023","87.77","86.83","88.08","86.52","8.57K","1.28%"
"10/12/2023","86.66","86.73","87.40","85.90","9.53K","1.89%"
"10/11/2023","85.05","85.50","86.15","84.38","28.53K","-2.53%"
"10/10/2023","87.26","88.82","88.93","87.20","11.36K","0.20%"
"10/09/2023","87.09","87.41","88.76","86.80","","-0.06%"
"10/06/2023","87.14","86.60","87.50","86.55","12.96K","0.69%"
"10/05/2023","86.54","87.01","88.06","86.45","19.27K","-0.54%"
"10/04/2023","87.01","87.74","87.93","86.64","12.11K","-0.48%"
"10/03/2023","87.43","87.75","87.84","87.04","12.16K","-0.36%"
"10/02/2023","87.75","87.30","87.96","86.70","15.50K","0.69%"
"09/29/2023","87.15","88.83","89.29","87.02","18.40K","-1.76%"
"09/28/2023","88.71","88.64","89.89","88.46","21.19K","0.46%"
"09/27/2023","88.30","88.00","89.45","87.76","22.88K","0.14%"
"09/26/2023","88.18","88.00","88.81","87.20","22.83K","0.01%"
"09/25/2023","88.17","85.91","88.33","85.80","22.90K","2.63%"
"09/22/2023","85.91","86.30","87.39","85.55","16.21K","-0.65%"
"09/21/2023","86.47","86.79","86.92","85.88","16.31K","-0.45%"
"09/20/2023","86.86","87.50","87.66","86.82","12.79K","-0.75%"
"09/19/2023","87.52","87.00","88.42","86.79","14.26K","0.60%"
"09/18/2023","87.00","86.55","87.65","86.46","12.82K","0.65%"
"09/15/2023","86.44","87.82","88.30","86.36","17.03K","-1.55%"
"09/14/2023","87.80","86.89","87.90","86.64","11.80K","1.05%"
"09/13/2023","86.89","88.04","88.23","86.59","18.41K","-1.60%"
"09/12/2023","88.30","87.73","88.61","87.23","18.52K","0.59%"
"09/11/2023","87.78","85.94","88.44","85.89","20.19K","2.18%"
