"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2023","113.95","114.34","115.03","113.55","5.75M","-0.66%"
"07/17/2023","114.71","113.39","114.71","112.94","5.23M","0.66%"
"07/14/2023","113.96","115.26","115.62","113.84","14.82M","-1.40%"
"07/13/2023","115.58","114.50","116.02","114.34","8.77M","1.54%"
"07/12/2023","113.83","114.79","115.33","113.83","6.30M","0.03%"
"07/11/2023","113.80","113.97","114.07","112.04","5.42M","-0.26%"
"07/10/2023","114.10","114.66","115.04","114.10","7.15M","-0.95%"
"07/07/2023","115.19","114.00","115.87","114.00","5.19M","1.36%"
"07/06/2023","113.64","114.85","115.13","113.43","5.97M","-1.90%"
"07/05/2023","115.84","114.85","118.06","114.85","7.69M","0.52%"
"07/04/2023","115.24","115.62","115.92","115.03","3.64M","-0.60%"
"07/03/2023","115.94","114.90","116.10","114.75","4.88M","1.55%"
"06/30/2023","114.17","115.70","115.77","114.17","11.08M","-0.64%"
"06/29/2023","114.91","113.30","114.96","113.23","5.13M","1.66%"
"06/28/2023","113.03","113.60","114.38","112.89","3.76M","-0.65%"
"06/27/2023","113.77","115.31","115.45","112.88","7.57M","-0.57%"
"06/26/2023","114.42","115.29","115.29","113.77","5.39M","-0.77%"
"06/23/2023","115.31","115.20","115.68","114.49","3.90M","0.04%"
"06/22/2023","115.26","115.82","116.30","114.27","5.50M","-0.87%"
"06/21/2023","116.27","115.78","116.78","115.56","4.39M","0.39%"
"06/20/2023","115.82","115.51","115.94","114.68","5.86M","-0.27%"
"06/19/2023","116.13","114.70","116.25","114.70","5.42M","1.07%"
"06/16/2023","114.90","114.79","115.80","114.56","7.56M","-0.43%"
"06/15/2023","115.40","115.09","115.91","114.90","12.81M","0.25%"
"06/14/2023","115.11","113.69","115.41","113.50","12.41M","1.92%"
"06/13/2023","112.94","113.90","114.14","112.66","6.67M","-0.62%"
"06/12/2023","113.64","113.59","114.00","112.93","7.29M","0.38%"
"06/09/2023","113.21","112.50","113.85","112.44","7.56M","1.28%"
"06/07/2023","111.78","111.66","112.26","110.96","7.57M","0.64%"
"06/06/2023","111.07","109.50","111.19","109.35","7.07M","1.77%"
"06/05/2023","109.14","109.32","109.46","108.11","4.99M","0.11%"
"06/02/2023","109.02","108.25","109.44","108.25","9.60M","1.70%"
"06/01/2023","107.20","105.51","107.24","104.86","6.99M","2.25%"
"05/31/2023","104.84","104.97","105.71","104.78","5.85M","-0.51%"
"05/30/2023","105.38","107.54","107.78","105.12","5.94M","-1.30%"
"05/29/2023","106.77","107.25","107.59","106.62","6.60M","-0.69%"
"05/26/2023","107.51","108.00","108.17","106.30","7.60M","0.90%"
"05/25/2023","106.55","107.00","107.65","106.11","8.81M","1.22%"
"05/24/2023","105.27","105.43","106.20","105.04","8.38M","-1.10%"
"05/23/2023","106.44","106.60","107.77","106.18","7.01M","-0.10%"
"05/22/2023","106.55","107.50","108.10","106.55","6.20M","-0.57%"
"05/19/2023","107.16","107.00","107.68","106.24","10.05M","0.38%"
"05/18/2023","106.75","105.98","106.80","105.32","17.57M","0.70%"
"05/17/2023","106.01","105.85","106.31","105.50","7.68M","1.32%"
"05/16/2023","104.63","105.63","106.67","104.57","12.49M","-0.80%"
"05/15/2023","105.47","105.33","105.77","104.81","8.66M","0.40%"
"05/12/2023","105.05","104.05","105.29","104.00","11.79M","0.22%"
"05/11/2023","104.82","102.98","105.22","102.98","7.78M","0.82%"
"05/10/2023","103.97","103.61","104.31","103.00","5.07M","0.16%"
